Time,hydraulic.generation.weaBus.TDryBul
172800.0,2.399994
173700.0,2.3000183
174600.0,2.2000122
175500.0,2.100006
176400.0,2.0
177300.0,1.9562683
178200.0,2.0
179100.0,2.09375
180000.0,2.2000122
180900.0,2.3406372
181800.0,2.524994
182700.0,2.696869
183600.0,2.8000183
184500.0,2.818756
185400.0,2.8000183
186300.0,2.78125
187200.0,2.8000183
188100.0,2.850006
189000.0,2.899994
189900.0,2.9500122
190800.0,3.0
191700.0,3.0500183
192600.0,3.100006
193500.0,3.149994
194400.0,3.2000122
195300.0,3.25
196200.0,3.3000183
197100.0,3.350006
198000.0,3.399994
198900.0,3.4500122
199800.0,3.5
200700.0,3.5500183
201600.0,3.600006
202500.0,3.6776733
203400.0,3.8071594
204300.0,3.9830322
205200.0,4.200012
206100.0,4.475891
207000.0,4.8000183
207900.0,5.124115
208800.0,5.399994
209700.0,5.630249
210600.0,5.8532715
211500.0,6.0746765
212400.0,6.3000183
213300.0,6.544159
214200.0,6.8052063
215100.0,7.06369
216000.0,7.3000183
216900.0,7.405182
217800.0,7.320099
218700.0,7.099945
219600.0,6.8000183
220500.0,6.425995
221400.0,5.990753
222300.0,5.56015
223200.0,5.200012
224100.0,4.89209
225000.0,4.5985413
225900.0,4.355713
226800.0,4.200012
227700.0,4.100006
228600.0,4.0
229500.0,3.899994
230400.0,3.8000183
231300.0,3.681244
232200.0,3.5500183
233100.0,3.443756
234000.0,3.399994
234900.0,3.399994
235800.0,3.399994
236700.0,3.399994
237600.0,3.399994
238500.0,3.399994
239400.0,3.399994
240300.0,3.399994
241200.0,3.399994
242100.0,3.3875122
243000.0,3.350006
243900.0,3.287506
244800.0,3.2000122
245700.0,3.0856323
246600.0,2.9450073
247500.0,2.7818909
248400.0,2.600006
249300.0,2.4040833
250200.0,2.2008362
251100.0,1.9971924
252000.0,1.8000183
252900.0,1.609375
253800.0,1.4250183
254700.0,1.2531433
255600.0,1.1000061
256500.0,0.9781189
257400.0,0.8916626
258300.0,0.8343811
259200.0,0.8000183
260100.0,0.7749939
